HD-No	work status	province	country	findspot ancient	findspot modern	findspot (village, street, etc.)	year	literature	transcription	tribunicia potestas number	godot URI
HD039753	checked with photo	Noricum	Austria	Teurnia, bei	Mauterndorf	{S. Gertrauden, Kirche}	201 AD	CIL 03, 05715.  CIL 03, 11835.  CIL 17, 04, 00201.  ILLPRON 1135.  PIR (2. Aufl.) I 889.  C.M. Hutter, Iuvavum. Alltag im römischen Salzburg (Salzburg 2012) 119; Foto.	[Im]p[(erator)] Caes(ar) L(ucius) Septimiu[s Severus] / [Pi]us Pertinax Aug(ustus) A[rab(icus) Adiab(enicus)] / [Pa]rth(icus) max(imus) pontif(ex)(!) tr(ibunicia) p[ot(estate) VIIII] / [im]p(erator) XII co(n)s(ul) II p(ater) p(atriae) proc[o(n)s(ul) et Imp(erator)] / [Cae]s(ar) M(arcus) Aurel(ius) Antoninu[s Pius Aug(ustus)] / [trib(unicia)] pot(estate) IIII proco(n)s(ul) [[[et P(ublius) Sept(imius)]]] / [[[Geta nob(ilissimus) Caes(ar)]]] miliaria v[etustate] / [c]onlapsa restituer[unt] / curante M(arco) Iuventio Su[ro] / Proculo leg(ato) / pr(o) pr(aetore) a T(eurnia) m(ilia) p(assuum) / XLV	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039762	checked with photo	Noricum	Austria	Iuvavum, bei	Untertauern	{Obertauern, Trischübelhalt}	201 AD	CIL 03, 05721. (B)  CIL 17, 04, 00208; Fig. α u. β; fig. γ (Zeichnung).  CIL 03, 11836. (B)  ILLPRON 1084.  PIR (2. Aufl.) I 889.	[Imp(erator) Caes(ar) L(ucius)] Se[pt(imius) Severus] / [Pius Pertin]ax [Aug(ustus) Arab(icus)] / [Adiab(enicus) Parth(icus) ma]x(imus) [pontif(ex) max(imus)] / [tr(ibunicia) pot(estate) VIIII i]mp(erator) XII [co(n)s(ul) II proco(n)s(ul)] / [et Imp(erator) Caes(ar) M(arcus) Aurel(ius)] / [Antoni]nus [Pius Aug(ustus) tr(ibunicia)] / [pot(estate) IIII pro]co(n)s(ul) e[t P(ublius) Sept(imius) Geta] / [nob(ilissimus) Caes(ar)] miliar[i]a [vetustate] / [conlapsa r]estitueru[nt curante] / [M(arco) Iuventio Su]ro [Proculo] / [leg(ato) p]r(o) pr(aetore) / [a Iuv(avo) m(ilia) p(assuum) ---]	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039770	checked with photo	Noricum	Austria	Iuvavum, bei	Hüttau	Fritz	201 AD	CIL 03, 05723.  CIL 03, 11837.  CIL 17, 04, 00212; Fig. α; Fig. β-δ (Zeichnungen).  ILLPRON 1064.  PIR (2. Aufl.) I 889.	Imp(erator) [Ca]e[s(ar)] L(ucius) Septimius / [Severus] Pius Per[ti]n[ax Aug(ustus)] / [Ar]ab(icus) Adiab(enicus) Pa[rt]h(icus) m[ax(imus)] / [ponti]f(ex) max(imus) trib(unicia) pot(estate) [VIIII] / [i]mp(erator) XII co(n)s(ul) II [p(ater) p(atriae) pr]o/co(n)s(ul) et [Imp(erator)] / Caes(ar) M(arcus) Aurel(ius) Antonin[us] / Pi[us Au]g(ustus) [t]rib(unicia) po[t(estate) I]III proc[o(n)s(ul) et] / [[[P(ublius) Sept(imius) Geta nob(ilissimus) Caes(ar)]]] milia[ria] / vetust[at]e co[nla]psa / [rest]ituerun[t] cu[ra]nte [M(arco)] / [Iuve]ntio Suro [Proc]ulo / leg(ato) pr(o) pr(aetore) a [Iuv(avo)] / m(ilia) p(assuum) [---]	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD039783	checked with photo	Noricum	Austria	Iuvavum, bei	Werfen	{Tenneck}, Salzach	201 AD	CIL 17, 04, 00220.  ILLPRON 1148.  PIR (2. Aufl.) I 889.	[Imp(erator) Caes(ar)] / [L(ucius) Septimi]u[s Severus] / [Pius Per]t[inax Aug(ustus)] / [Arab(icus) Adiab(enicus) Parth(icus)] / [max(imus) p]onti[f(ex)] m[ax(imus) trib(unicia)] / [pot(estate) V]IIII imp(erator) [XII co(n)s(ul) II p(ater) p(atriae)] / [pro]co(n)s(ul) [et Imp(erator) Caes(ar)] / [M(arcus) A]urel(ius) An[toninus] / [Pius] Aug(ustus) [trib(unicia) pot(estate) IIII] / [pro]co(n)s(ul) et [[P(ublius) Sept(imius)]] / [[Geta nob(ilissimus) Caes(ar)]] [miliaria] / [ve]tustate [conlapsa] / [restit]uer[unt curante] / [M(arco) Iu]v[e]ntio [Suro Proculo] / [leg(ato)] pr(o) pr(aetore) / [a Iuv(avo) m(ilia) p(assuum) ---]	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD041134	checked with photo	Hispania citerior	Spain		San Cugat del Vallés	Monasterio	44 AD	J. Lostal Pros, Los miliarios de la provincia tarraconense (conventos tarraconense, cesaraugustano, cluniense y cartaginense) (Zaragoza 1992) 51-52, Nr. 45; fig. 31 (Zeichnung), lám. 28.	Tib(erius) Claud(ius) Drusi f(ilius) / Caesar Augustus / Germanicus [pontifex] / [max(imus) tribunic(ia) potest(ate) IIII] / [co(n)s(ul) III imp(erator) VIII] / [pater patriae] / [&	4	https://godot.date/id/Qpc5AfS322HkW33AkH5LKZ
HD041136	provisional	Hispania citerior	Spain		Guimerá, bei	La Cadena - els Palaus, zwischen	44 AD	J. Lostal Pros, Los miliarios de la provincia tarraconense (conventos tarraconense, cesaraugustano, cluniense y cartaginense) (Zaragoza 1992) 53-54, Nr. 47.  CIL 02, 04929.  ILER 1975.  IRC 2, 094.  IRC 5, p. 71.	Ti(berius) Claudius Dru(si) f(ilius) Cae(sar) / Augustus Germanicus / pontifex maximus trib/unicia potestate IIII / imp(erator) VIII co(n)s(ul) III p(ater) p(atriae) / CCXVIII	4	https://godot.date/id/Qpc5AfS322HkW33AkH5LKZ
HD041201	no image	Hispania citerior	Spain		Lucena de Jalón		85 AD	J. Lostal Pros, Los miliarios de la provincia tarraconense (conventos tarraconense, cesaraugustano, cluniense y cartaginense) (Zaragoza 1992) 64-65, Nr. 58.  CIL 02, 04918.	[Imperator Cae]sar / [divi Vespa]siani f(ilius) / [[Domitianus]]s Aug(ustus) Ger(manicus) / [pont(ifex) max(imus) im]p(erator) VIIII co(n)s(ul) XI / [tribunic(ia) po]testat(e) IIII p(ater) p(atriae) / [vias vetustat]e corr[u]pt[as] / [refec(it) pon]tes restit(uit) / [a(b) --- m(ilia) p(assuum)] CCLXXXIX / [a(b) --- m(ilia) p(assuum)] CLXIX / [a(b) --- m(ilia) p(assuum)] VII	4	https://godot.date/id/YkLF7nbSqSTz3ZX3qUX4jB
HD041259	provisional	Hispania citerior	Spain		Huelves	Cruce del río Riansares, bei	98 AD	J. Lostal Pros, Los miliarios de la provincia tarraconense (conventos tarraconense, cesaraugustano, cluniense y cartaginense) (Zaragoza 1992), 76-77, Nr. 73; fig. 43 (Zeichnung), lám. 39.  EphEp 8, p. 478 n. 253.	Imp(erator) Nerva / Caesar Aug(ustus) / Traianus Germ(anicus) / pontif(ex) max(imus) trib(unicia) / potest(ate) II co(n)s(ul) II / r[e]stituit	2	https://godot.date/id/xnsSoHhSQpFJXS2ao6o377
HD041267	checked with photo	Hispania citerior	Spain		Úbeda, bei	Aldehuela	98 AD	J. Lostal Pros, Los miliarios de la provincia tarraconense (conventos tarraconense, cesaraugustano, cluniense y cartaginense) (Zaragoza 1992), 076; Foto u. Zeichnung.  CIL 02, 04933.	Imp(erator) Caesar divi / Nervae f(ilius) Nerva / Traianus Aug(ustus) Germ(anicus) / pontif(ex) maxim(us) / trib(unicia) potest(ate) II cos II / p(ater) p(atriae) fecit et restituit	2	https://godot.date/id/xnsSoHhSQpFJXS2ao6o377
HD041268	no image	Hispania citerior	Spain		Navas de San Juán	Cortijo de Vistalegre	98 AD	J. Lostal Pros, Los miliarios de la provincia tarraconense (conventos tarraconense, cesaraugustano, cluniense y cartaginense) (Zaragoza 1992) 81-82, Nr. 78.	Imp(erator) Caes(ar) divi / Nervae f(ilius) Nerva / Traianus Aug(ustus) Germ(anicus) / pontif(ex) maxim(us) / trib(unicia) potest(ate) II cos II / p(ater) p(atriae) fecit et restituit	2	https://godot.date/id/xnsSoHhSQpFJXS2ao6o377
HD041277	checked with photo	Hispania citerior	Spain		Sofuentes	La Gobernadora	135 AD	J. Lostal Pros, Los miliarios de la provincia tarraconense (conventos tarraconense, cesaraugustano, cluniense y cartaginense) (Zaragoza 1992) 84-85, Nr. 82; lám. 43.	[Imp(erator) Caes(ar)] divi Trai(ani) / [Part(hici) f(ilius) div]i Nervae n(epos) / [Tra(ianus) Hadr(ianus) Aug(ustus) p]ont(ifex) max(imus) / [trib(unicia) pot(estate) X]IX co(n)s(ul) III / [p(ater) p(atriae) a C(olonia) C(aesare) A(ugusta)] m(ilia) p(assuum) LXXII	19	https://godot.date/id/QtfW7YJt2RzJhRrCcWLb8E
HD042276	no image	Moesia inferior	Romania	Istrus	Istria		162 AD	IScM 1, 318.  PIR S 415.  AE 1891, 0053. (B)  G.G. Točilescu, AEM 14, 1891, 21, Nr. 48. (B) - AE 1891.  PIR (2. Aufl.) S 583.  CIL 03, 12514.	Imp(erator) Caesar M(arcus) Aurelius / Antoninus Aug(ustus) ponti/fex maximus trib(unicia) pot/[est]at(e) XVI co(n)s(ul) III et / [Imp(erator)] Caesar Lu(cius) Aure/lius Verus Aug(ustus) tri/b(unicia) potestat(e) II co(n)s(ul) II / divi fili Pii divi Ha/driani nepotes di/vi Nervae adnepo/tes M(arcus) Servilius / Fabianus Maxi/mus leg(atus) Aug(usti) / pr(o) pr(aetore) / m(ilia) p(assuum) XVIIII	16	https://godot.date/id/eySAhWoazEgvLEZLeExPo3
HD042597	checked with photo	Moesia superior?	Serbia?		Petrovac na Mlavi?	Ranovac?	101 AD	AE 1991, 1360. (B)  W. Eck, Chiron 21, 1991, 185-201; Taf. 1-3. (B) - AE 1991.  RMD 143.  PIR S 401.  PIR (2. Aufl.) M 51.	Imp(erator) Ca[esar divi Nervae f(ilius) Nerva Traia]/nus A[ugustus Germanicus pontifex ma]/ximus [tribunic(ia) potest(ate) V p(ater) p(atriae) co(n)s(ul) IIII] / equitibu[s et peditibus qui militant in ala II] / Pannoni[orum et cohortibus --- et] / I Flavi[a Hispanorum |(milliaria)? et --- et] / I C(?)[---] / [& // Imp(erator) Caesa[r divi Nervae f(ilius) Nerva Traianus] / Augus<t=I>u[s#Augus<t>u[s#AUGUSIU Germanicus pontifex maximus] / tribuni[c(ia) potest(ate) V p(ater) p(atriae) co(n)s(ul) IIII] / e[qu]itibu[s et peditibus qui militant in ala II Pannoniorum et cohortibus --- et I Flavia Hispanorum |(milliaria)? et --- et I C(?)& // cum est civitas iis data aut [si qui cae]/libes essent cum iis quas po[ste]a duxis/sent dumtaxat singu<l=I>i#singu<l>i#SINGUII sin[gul]as / a(nte) d(iem) XVII K(alendas) [---] / M(arco) Maec<i=L>o#Maec<i>o#MAECLO Cel[ere] / C(aio) Sertorio Broccho Servaeo In[nocente co(n)s(ulibus)] / <c>ohort(is) I <F=E>lav<i=L>ae#<F>lav<i>ae#ELAVLAE His<p=T>ano[rum#His<p>ano[rum#HISTANO millia]/riae cui pra(e)est / C(aius)(?) Mammius C(ai) <f=E>(ilius)#<f>(ilius)#E Pal(atina) Salu<t=I>ari[s]#Salu<t>ari[s]#SALUIARI / pediti / M(arco) Antonio M(arci) <f=E>(ilio)#<f>(ilio)#E Esumno V[---] / descriptum e<t=L>#e<t>#EL recognitum ex tabula a<e=L>nea#a<e>nea#ALNEA / quae <f=E>ixa#<f>ixa#EIXA est Romae // C(ai) Tuticani Saturnini / P(ubli) Lusci A[mandi] / [C(ai) F]ictori P[olitici] / Ti(beri) Claudi [---] / P(ubli) Manli [---] / C(ai) Valeri [---]i / P(ubli) Quirini [Pot]hi	5	https://godot.date/id/rNCnSnxP2BqUtxVhkdZTtZ
HD042627	checked with photo	Moesia inferior	Bulgaria	Novae	Svištov	Lager, {principia, Raum Cz}, Eingang, bei	196 AD	AE 1993, 1364.  IGLN 057bis; pl. 22, 57bis (Fotos u. Zeichnung).  T. Sarnowski, ZPE 95, 1993, 205-218; Taf. 5 b u. c. - AE 1993.	Imp(eratori) Caesari divi M(arci) / Antonini Pii Germa(nici) / Sarm(atici) fil(io) divi Commo/di fratri divi Antonini Pii / nep(oti) divi Hadriani pronep(oti) / divi Traiani Parth(ici) abnep(oti) di/vi Nervae adnep(oti) L(ucio) Septim(io) / Severo Pio Pertinaci Aug(usto) / Arab(ico) Adiab(enico) p(atri) p(atriae) p(ontifici) m(aximo) tr(ibunicia) p(otestate) IIII / imp(eratori) VIII co(n)s(uli) II primi ord(ines) / et centurion(es) leg(ionis) I Ital(icae) // Aur(elius) Conces//sus // Fl(avius) Constans / Sab(inius?) Pudens / Fan(nius) Semninius / Bae(bius) Urvinianus / Enn(ius) Deccius / coh(ors) II / [Nu]mis(ius) Florus / [---] Quietus / (A)el(ius?) Eufeminus / Dov(ius) Fortunatus / Ael(ius) Cydias / coh(ors) III / Cl(audius) Dexter / Gran(ius?) Ie[-]a[-]lida // Iul(ius) Co[---] / Iul(ius) Ni[---] / coh(ors) [IIII] / Muf(eius?) Ter[---] / coh(ors) [V] / Num(---) F[---] / Pet(ronius?) Flo[rus?] / Humid(ius) [---] / co[h(ors) VI] / [&	4	https://godot.date/id/n96ehmM2UrKrDbMUsH36kn
HD042844	no image	Dacia	Romania		Barboşi		112 AD	AE 1991, 1381.  N. Gostar, AMold 9, 1980, 69-73. - AE 1991.  CIL 03, 00777. (B)  PIR (2. Aufl.) C 273.  IScM 5, 292.	Imp(eratori) Caes(ari) div(i) [Nervae] / fil(io) Nervae Traiano / Augusto Ger[m(anico)] Dacico / pont(ifici) max(imo) [tri]b(unicia) pot(estate) XVI / imp(eratori) VI co(n)s(uli) VI p(atri) p(atriae) / P(ublio) Calpurnio Macro Cau/lio Rufo leg(ato) Aug(usti) pro p[r(aetore)] / [&	16	https://godot.date/id/98NikVkPL7mBA5pVJBNXqK
HD042986	no image	Moesia inferior	Romania	Tomi	Constanţa		194 AD	IScM 2, 081. (B)  CIL 03, 00766.  CIL 03, 06153. (B)	[Imp(eratori) Caesa]ri L(ucio) Septimio Sev[e]ro Pertina[ci] / [Aug(usto) Pio p]ontif(ici) max(imo) trib(unicia) po[t(estate) I]I im[p(eratori)] II co(n)s(uli) II p(atri) p(atriae)	2	https://godot.date/id/hVQUZrrhYsMa9RzYJWghNj
HD043358	checked with photo	Moesia inferior	Romania	Tomi	Constanţa		201 AD	CIL 03, 07540.  IScM 2, 084; Foto. (B)  G.G. Točilescu, AEM 6, 1882, 13-14, Nr. 23.  G.G. Točilescu, AEM 11, 1887, 65, Nr. 136.  IGR 1, 0612.  PIR (2. Aufl.) O 191.	[Imp(eratori) Caes(ari) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) fil(io) divi Commodi fratri divi Antonini Pii nep(oti) divi Hadriani pronep(oti) d]ivi Traiani Part[hici abnep(oti) divi Nervae adnep(oti)] / [L(ucio) Septimio Severo Pio Pertinaci Augusto Arabico Adiabenico Parthico maximo pont(ifici) max(imo) trib(unicia) pot(estate)] VIIII imp(eratori) XI co(n)s(uli) II [p(atri) p(atriae) proco(n)s(uli)] / [et Imp(eratori) Caes(ari) L(uci) Septimi Severi Pii Pertinacis Aug(usti) Arab(ici) Adiab(enici) Parth(ici) max(imi) fil(io) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) nep(oti) divi] Antonini Pii pro[nep(oti) divi Hadriani abnep(oti)] / [divi Traiani Parthici et divi Nervae adnep(oti) M(arco) Aurelio Antonino Pio Fel(ici) Aug(usto) trib(unicia) pot(estate) IV proco(n)s(uli) et P(ublio) Septimio Getae nob(ilissimo) Caes(ari) Aug(usto) Severi Aug(usti) fil(io) Antonini A]ug(usti) [[fratri]] et Iulia[e Domnae Aug(ustae) matri] / [castr(orum) et Augg(ustorum) Imperatoris L(uci) Septimi Severi Aug(usti) coniugi res publica Tomitanorum per C(aium) Ovinium Tertullum leg(atum) Au]gg(ustorum) pr(o) pr(aetore) // [Αὐτοκρ(άτορα) Καίσ(αρα) θεοῦ Μ(άρκου) Ἀντωνείνου Εὐσεβοῦς Γερ(μανικοῦ) Σαρματ(ικοῦ) υἱὸν θεοῦ Κομμόδου ἀδελφὸν θεοῦ Ἀντωνείνου Εὐσεβοῦς υἱωνὸν θε]οῦ Ἁδριανοῦ ἔκ[γονον θεοῦ Τραιανοῦ Παρθικοῦ καὶ] / [θεοῦ Νέρουα ἀπόγονον Λ(ούκιον) Σεπτίμιον Σεουῆρον Εὐσεβῆ Περτίνακα Σεβ(αστὸν) Ἀραβ(ικὸν) Ἀδιαβ(ηνικὸν) Παρθ(ικὸν) Μέγιστον ἀρχιερέα μέγιστον δημαρχικῆς ἐξουσίας θʹ Αὐτοκρ]άτορα ιαʹ ὕπ[ατον βʹ π(ατέρα) π(ατρίδος) ἀνθύπατον καὶ] / [Αὐτοκρ(άτορα) Καίσ(αρα) Λ(ουκίου) Σεπτιμίου Σεουήρου Εὐσεβοῦς Περτίνακος Σεβ(αστοῦ) Ἀραβ(ικοῦ) Ἀδιαβ(ηνικοῦ) Παρθ(ικοῦ) μεγίστου υἱὸν θεοῦ Μ(άρκου) Ἀντωνείνου Εὐσεβοῦς Γερ(μανικοῦ) Σαρμα]τικ(οῦ) υἱωνὸν θε[οῦ Ἀντωνείνου Εὐσεβοῦς ἔκγονον]/ [θεοῦ Ἁδριανοῦ ἀπόγονον Μ(ᾶρκον) Αὐρήλιον Ἀντωνεῖνον Εὐσεβῆ Εὐτυχῆ Σεβ(αστόν) δημαρχικῆς ἐξουσίας δʹ ἀνθύπατον καὶ Π(ούπλιον) Σεπτίμιον Γέταν Καίσ(αρα) Σεβασ]τὸν υἱὸν τοῦ [Αὐτοκράτορος καὶ Ἰουλίαν Δόμναν] / [μητέρα στρατοπέδων καὶ Σεβαστῶν γυναῖκα τοῦ Αὐτοκρ(άτορος) Λ(ουκίου) Σεπτιμίου Σεουήρου Σεβ(αστοῦ) ἡ βουλὴ καὶ ὁ δῆμος Τομειτῶν ἀνέθηκεν· Γ(άϊος) Οὐίνιος Τέρτυλλος πρεσβευτὴς Σεβαστῶν καὶ ἀντιστράτηγος καθιέρωσεν]	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD043469	no image	Moesia inferior	Romania	Aegyssus	Tulcea		200 AD	CIL 03, 14461.  PIR (2. Aufl.) O 191.	[Imp(erator) Caesar L(ucius) Sep]/[timius Severus] / [Pius Pertinax Aug(ustus)] / [Arab(icus) Adiab(enicus) Pa]/rt(hicus) max(imus) pont(ifex) / max(imus) trib(unicia) po/t(estate) VIII imp(erator) XI co(n)s(ul) / II p(ater) p(atriae) et Imp(erator) Ca/es(ar) M(arcus) Aurelius An/toninus Aug(ustus) / trib(unicia) pot(estate) II<I> et L(ucius) / Sept[[[imius]]] Geta / Ca[esar] resti/tue[r]unt pe/r C(aium) Ovinium / Tertullum leg(atum) / pr(o) pr(aetore)	8	https://godot.date/id/gAyZ7AUmARyUPyiAhN5HVV
HD043480	checked with drawing	Moesia inferior	Romania	Troesmis	Turcoaia	Igliţa, östliche Festung	134 AD	IScM 5, 137; Fotos u. Zeichnung. (B)  CIL 03, 06178. (B)  CIL 03, 06179. (B)  CIL 03, 06180. (B)  PIR (2. Aufl.) A 692.  PIR (2. Aufl.) A 1302.  PIR (2. Aufl.) C 1412.  PIR (2. Aufl.) C 357.  PIR (2. Aufl.) I 397.  PIR (2. Aufl.) P 507.	[Imp(eratori) Caes(ari) Traiano Hadr(iano) Aug(usto)] / [pont(ifici) max(imo) trib(unicia) pot(estate) XVIII] / [co(n)s(uli) III p(atri) p(atriae) veterani qui mili]/[tare coeperunt Annio et Atilio co(n)s(ulibus) et Palma] / [et Tullo co(n)s(ulibus) missi honesta missione su]b / [Iu]lio Maiore leg(ato) / Aug(usti) pr(o) pr(aetore) / et Plotio Iuliano leg(ato) A[ug(usti)] // coh(ors) I Sempronius Valens ex architect(o) / Pescennius I(?)[---] / Fl(avius) Antonin[us] / Valerius Valens / Iul(ius) Proculus ex imm(uni) / Vibius Priscus / Anti[s]tius Vetus / Iul(ius) Imu[--](?) / [------] / [------] / [------] / [------] / [------] / [------] / [------] / [------] / [------] / [---]tenius / [---] Lupus / [--- S]abinus / [V]al(erius) Valens ex imag(inifero) / Iul(ius) Longinus / P(ublius) Me[---]aas(?) / Val(erius) Proculus / Attius Alex(ander) ex op(tione) / Ti(berius) Capito / Pomp(onius) Maximus / <C=G>aesonius#<C>aesonius#GAESONIUS Niger / Iul(ius) Valens / Iul(ius) Valens / Septimius Celer / Ant(onius) Silvan(us) ex corn(iculario) / Fonteius Capito / Cl(audius) Maximus // Val(erius) Firmus / Cassius Longin[us] / Cl(audius) Maxim[us] / Mem(m)i(us) Vale(n)s / Val(erius) Ianuari(u)s / Cassi(us) Vale(n)s / [I]ul(ius) Maximus / [Iu]l(ius) Philippus / [---] Vale(n)s / [------] / [------] / [------] / [------] / [---]l[---] / M(arcus) Pontianus / c(o)ho(rs) II / Sosius Longinus / Fera(---) Longinus / Cornel(ius) Bassus / Val(erius) Victor / Val(erius) Longin[us] / Iul(ius) Macrinus / P(ublius) Atalus ex b(ene)f(iciario) / Mem(mius) Capito / Naev(ius) Pudens / Iul(ius) Roscius / Val(erius) Maximu(s) / Pomp(onius?) Iu[---] / Iulius Seve(rus) ex eq(uite) / Cassi(us) Longinus / Val(erius) Libo / Egna(tius) Valens // Barb(ius) Cant[aber?] / coh(ors) III / Lucil(ius) Pu[---] / Iul(ius) Licin[ianus] / Val(erius) Vale[---] / Helv(ius) Can[taber?] / Dom(itius) Do[---] / Iul(ius) Fi[---] / C(a)en(ius) [---] / [------] / [------] / [------] / [------] / [------] / [------] / Nem(onius?) Valens / Val(erius) Rufus ex eq(uite) / Val(erius) Valens ex [--] / Val(erius) Maximus / Baeb(ius) Severus / Semp(ronius) Rufus / Iul(ius) Valens / coh(ors) IIII / Iul(ius) Aquila / Cassi(us) German(us) / [---]pe(---) Valens / Gelli(us) Germ(anus) ex eq(uite) / Claud(ius) Crispus / P(ublius) Maius Seve(rus) ex c(orniculario) / Verus Bassus / [---] Leontia(nus) / Vellei(us) Capito / Aufon(ius) Valen(tinus?) // coh(ors) [V?] / [---]ong[---] / [--- Secu?]ndus V / [---] Alexande[r] / [---]us Val(ens) ex b(eneficiario) proc(uratoris) / [--- C]rispus ex b(eneficiario) leg(ati) / [--- Phili]ppus / [--- S]aturnin(us) ex eq(uite) / [------] / [------] / [------] / [---]lus / [---]us ex b(eneficiario) / [--- Sec]undus / [---]s ex eq(uite) / [---]nus / [---]s / [---] Valens / [---] Vale[ns] / [---]s ex ac(tario?) / [---] Saturninus / [--- S]aturninus / [---]ter ex b(eneficiario) / [---]gnel[-] / [---] Intim(us) ex b(eneficiario) p(rocuratoris) / [---] Varianus / [---]us / [---]us ex sign(ifero) / [---]ont[---] / [------] / [------] / [------] / [------] / [------] / [------] // Pro[---]r / [-]nia[-]o[---] / Antonius R[--- ex] op(tione) / Iul(ius) Geme[ll(us) ex] b(eneficiario) l(egati) / Licinius [---]s / Val(erius) Mo[--- ex? im?]m(uni?) / Fl(avius) Cael[---]er / [---]n(---) / [---]s / [---]es / Iul(ius) [---] / Fl(avius) Pont[---] / Val(erius) Ism[---] / Iul(ius) Vibia[nus] / P(ublius) Anconte[ius] / Antonius [---] / Antonius [---] / Stator(ius) No[---] / Aemilius [---] / Servilius [---] / A(ulus) Vege[tus?] / Val(erius) Mar[---]s / T(itus) Fl(avius) Un[---] / Petron(ius) [--- ex] b(eneficiario) l(egati) / Fl(avius) EI(?)[---] / Val(erius) [---] / Fl(avius) [---]r / Bu[---]l(---) / P[---]s / [------] / [------] / [------] / [------] / [------] / [------] // Truc(cius?) Secu(ndus) / Atis(ius) Valen(s) / Iuli(us) Valens / Sulp(icius) Valenti(nus) / Iuli(us) Balen(s)(!) / Iuli(us) Sever(us) / Iuli(us) Long(inus) / Iuli(us) Genian(us) / coh(ors) VIIII / Iuliu[s ---] / [---]v[---] / [------] / [------] / [------] / [------] / [------] / [------] / Val(erius) Long(inus) / Anto(nius) Pro(---) / Aemi(lius) Gemin(us) / [-]at(---) Phil(ippus) ex b(eneficiario) / Val(erius) Severu[s] / Iul(ius) Sabin(us) / Iul(ius) Proc(ulus) / Cat(onius) Secun(dus) / Iul(ius) Longin(us) / Iul(ius) Vitul(us) / T(itus) Fl(avius) Magn(us) / coh(ors) X / Lucr(etius) Statu(tus) / Val(erius) Front(o) / Fl(avius) Valen(s) / Mess(ius) Valen(s) / Publ(icius) Tertiu(s) // Aponi(us) Moe[sicus] / Valeri(us) Ma[---] / [P]apiri(us) Mes[---] / [V]aleri(us) Front[o] / [I]ulius Alexa[nder] / Valerius Max[imus] / Iulius S(e)verus / [------] / [------] / [------] / [------] / [------] / [------] / [------] / [------] / [------] / [------] / [------] / AVI(?)I(?)[---] / Iul(ius) Iub[---] / Me[-]es[---] / M(a)eonius Val[---] / Severus Am[---]/ [---] Leonatus / Iul(ius) Val(ens) Valent[inus] / Iul(ius) Candi[dus] / Iul(ius) Nob[ilis] / D(---) Geminus / reliqu[i] / Antoni(us) Eleu[ther] / Gratti(us) Itali[cus] / Valeri(us) Pris[cus] / Aufidi(us) Iuli[an(us)] / Anton(ius) Gem[in(us)] // [---]alis opt(io) rete(ntus) ad s[pem] / [---]c(---) ex aq(uilifero) / [---]nD(?)(---) ex imag(inifero) / [--- A]quil(a) ex buc(inatore) / [---]P(?)avius / [------] / [------] / [------] / [---] Felix / [---]s Pudens / [---]on[---] / [---] Rufus / [---]us Valens / [---] Fronto / [---] Geta b(eneficiarius?) / [---]nq(---) Val(ens) / [---]e(---) ex im(m)un(i) / [---]genus / [---] e[x] e[q(uite)] / [---]u(s) Procul(us) / [---]nus [---] / [---]n[---] / [---] Gemel(lus) / [---]es / [--- e]x eq(uite) / [---]us / [---]us ex b(eneficiario) / [---] ex b(eneficiario) leg(ati) / [---]tus / [---]us ex b(eneficiario) proc(uratoris) / [---] Mussianus / [---]ica[--] // Cassius Vi[---] / Terent(ius) Gir[---] / Iul(ius) Pont[icus] / [------] / [------] / [------] / [------] / [---]a[---] / Caesius [---] / Cabellius L[---] / Calpurnius ex e[q(uite)] / Iul(ius) Sap[---] / Antonius Crisp[us] / Antoni(us) Proc(ulus) / Iul(ius) Germanus / Valer(ius) Pollio / Claudius Secund(us) ex ac(tario?) / Mar(cius?) Silvan[us] / <T=I>(itus)(?)#<T>(itus)(?)#I <F=E>l(avius)#<F>l(avius)#EL Valens ex b(eneficiario) leg(ati) / Valer(ius) Clemens / Numitorius Severus / Valerius Aternus / Nonius Satu[rninus] / Valeri(us) Maxi(mus) / Cl(audius) Me[---] / Decimu[s ---] / Sex(tus) Be[---] / Ruf[---] / Sext[---] / [------] / [------] / [------] / [------] / [------]	18	https://godot.date/id/vCK8TA9bcWLBm7psgpdznM
HD043496	no image	Moesia inferior	Romania	Tomi	Constanţa		124 AD	CIL 03, 07615.	Imp(eratori) Caes(ari) divi Tra/iani Parthici f(ilio) divi / Nervae nepoti Traiano / Hadriano Aug(usto) pont(ifici) / max(imo) trib(unicia) pot(estate) VIII co(n)s(uli) III / a Tomis [&?	8	https://godot.date/id/SkTwK6ZjjDFexyujQmPzFk
